timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.020000,0.000000,-0.000000,0.194991,-0.000000,-0.000000,0.000088,0.000000,0.000000,0.000000
0.040000,-0.000000,-0.000000,0.194993,-0.000000,-0.000000,0.000068,-0.000000,-0.000000,-0.001041
0.060000,-0.000000,-0.000000,0.194994,0.000000,0.000000,0.000057,0.000000,0.000000,-0.000525
0.080000,-0.000000,-0.000000,0.194995,0.000000,0.000000,0.000047,-0.000000,-0.000000,-0.000519
0.100000,-0.000000,0.000000,0.194996,-0.000000,0.000000,0.000036,-0.000000,-0.000000,-0.000518
0.120000,-0.000000,0.000000,0.194996,-0.000000,0.000000,0.000036,0.000000,0.000000,0.000000
0.140000,-0.000000,0.000000,0.194997,-0.000000,0.000000,0.000026,0.000000,-0.000000,-0.000512
0.160000,-0.000000,0.000000,0.194997,-0.000000,0.000000,0.000026,0.000000,0.000000,0.000000
0.180000,-0.000000,0.000000,0.194997,-0.000000,0.000000,0.000026,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.194998,-0.000000,0.000000,0.000016,-0.000000,0.000000,-0.000506
0.220000,0.000000,0.000000,0.194998,-0.000000,0.000000,0.000016,0.000000,0.000000,0.000000
0.240000,0.000000,0.000000,0.194998,-0.000000,0.000000,0.000016,0.000000,0.000000,0.000000
0.260000,0.000000,0.000000,0.194998,-0.000000,0.000000,0.000016,0.000000,0.000000,0.000000
0.280000,0.000000,0.000000,0.194998,-0.000000,0.000000,0.000016,0.000000,0.000000,0.000000
0.300000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,-0.000000,-0.000000,-0.000507
0.320000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,0.000000,0.000000,0.000000
0.340000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,0.000000,0.000000,0.000000
0.360000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,0.000000,0.000000,0.000000
0.380000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,0.000000,0.000000,0.000000
0.400000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,0.000000,0.000000,0.000000
0.420000,-0.000000,0.000000,0.194999,-0.000000,-0.000000,0.000006,0.000000,0.000000,0.000000
0.440000,-0.000000,0.000000,0.195000,-0.000002,-0.000005,0.000001,-0.000118,-0.000239,-0.000226
0.460000,0.000000,0.000000,0.195000,0.000011,-0.000000,0.000001,0.000663,0.000231,-0.000011
0.480000,0.000000,0.000000,0.195000,0.000011,-0.000000,0.000001,0.000000,0.000000,0.000000
0.500000,0.000000,0.000000,0.195000,0.000011,-0.000000,0.000001,0.000000,0.000000,0.000000
0.520000,-0.000000,0.000000,0.195000,-0.000004,-0.000004,0.000001,-0.000725,-0.000169,-0.000022
0.540000,0.000000,0.000000,0.195000,0.000012,-0.000001,0.000000,0.000790,0.000106,-0.000004
0.560000,0.000000,0.000000,0.195000,0.000012,-0.000001,0.000000,0.000000,0.000000,0.000000
0.580000,-0.000000,-0.000000,0.195000,-0.000017,-0.000022,0.000000,-0.001467,-0.001036,-0.000010
0.600000,0.000000,-0.000000,0.195000,0.000014,0.000017,0.000000,0.001545,0.001964,-0.000002
0.620000,0.000000,-0.000000,0.195000,0.000014,0.000017,0.000000,0.000000,0.000000,0.000000
0.640000,-0.000000,-0.000001,0.195000,0.000027,0.000004,0.000016,0.000644,-0.000681,0.000809
0.660000,0.000001,0.000001,0.195001,0.000177,0.000148,0.000104,0.007516,0.007229,0.004376
0.680000,0.000008,0.000003,0.195005,0.000332,0.000020,0.000342,0.007776,-0.006382,0.011879
0.700000,0.000014,0.000002,0.195019,0.000341,-0.000056,0.001051,0.000440,-0.003829,0.035469
0.720000,0.000022,0.000002,0.195050,0.000485,0.000007,0.001909,0.007163,0.003135,0.042920
0.740000,0.000032,0.000002,0.195098,0.000516,-0.000009,0.002880,0.001574,-0.000797,0.048517
0.760000,0.000043,0.000002,0.195167,0.000592,-0.000038,0.004032,0.003806,-0.001446,0.057603
0.780000,0.000056,0.000000,0.195260,0.000676,-0.000066,0.005148,0.004216,-0.001373,0.055801
0.800000,0.000070,-0.000001,0.195373,0.000786,-0.000119,0.006146,0.005490,-0.002652,0.049915
0.820000,0.000087,-0.000004,0.195509,0.000908,-0.000186,0.007426,0.006089,-0.003383,0.064019
0.840000,0.000107,-0.000009,0.195673,0.001022,-0.000244,0.008938,0.005704,-0.002885,0.075595
0.860000,0.000129,-0.000015,0.195867,0.001183,-0.000345,0.010405,0.008030,-0.005043,0.073336
0.880000,0.000154,-0.000023,0.196091,0.001350,-0.000445,0.011927,0.008349,-0.005019,0.076112
0.900000,0.000183,-0.000033,0.196346,0.001544,-0.000560,0.013474,0.009710,-0.005714,0.077323
0.920000,0.000216,-0.000045,0.196634,0.001741,-0.000661,0.015172,0.009843,-0.005079,0.084894
0.940000,0.000253,-0.000059,0.196954,0.001965,-0.000775,0.016802,0.011191,-0.005668,0.081502
0.960000,0.000295,-0.000076,0.197309,0.002207,-0.000894,0.018623,0.012142,-0.005970,0.091059
0.980000,0.000342,-0.000095,0.197700,0.002448,-0.001003,0.020282,0.012048,-0.005462,0.082958
1.000000,0.000393,-0.000116,0.198122,0.002709,-0.001128,0.021906,0.013052,-0.006257,0.081184
1.020000,0.000450,-0.000140,0.198578,0.002971,-0.001253,0.023648,0.013068,-0.006250,0.087096
1.040000,0.000512,-0.000167,0.199068,0.003226,-0.001382,0.025219,0.012739,-0.006435,0.078586
1.060000,0.000580,-0.000196,0.199589,0.003488,-0.001536,0.026837,0.013126,-0.007676,0.080889
1.080000,0.000652,-0.000228,0.200144,0.003746,-0.001704,0.028625,0.012875,-0.008398,0.089384
1.100000,0.000729,-0.000264,0.200735,0.003982,-0.001867,0.030334,0.011799,-0.008184,0.085466
1.120000,0.000812,-0.000304,0.201360,0.004227,-0.002060,0.032071,0.012261,-0.009646,0.086853
1.140000,0.000899,-0.000347,0.202018,0.004458,-0.002253,0.033661,0.011572,-0.009647,0.079476
1.160000,0.000990,-0.000394,0.202709,0.004673,-0.002442,0.035358,0.010763,-0.009457,0.084875
1.180000,0.001086,-0.000445,0.203436,0.004892,-0.002645,0.037271,0.010912,-0.010141,0.095658
1.200000,0.001186,-0.000500,0.204200,0.005091,-0.002839,0.039052,0.009987,-0.009691,0.089033
1.220000,0.001290,-0.000559,0.204999,0.005302,-0.003054,0.040719,0.010541,-0.010740,0.083353
1.240000,0.001398,-0.000622,0.205831,0.005496,-0.003256,0.042366,0.009664,-0.010114,0.082342
1.260000,0.001510,-0.000689,0.206694,0.005677,-0.003444,0.043864,0.009094,-0.009399,0.074928
