timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.020000,1.499965,0.010500,0.199794,-0.003333,0.499989,-0.009800,0.000000,0.000000,0.000000
0.040000,1.499863,0.020499,0.199598,-0.006666,0.499956,-0.009800,-0.166656,-0.001667,0.000000
0.060000,1.499695,0.030498,0.199402,-0.009999,0.499900,-0.009800,-0.166642,-0.002778,0.000000
0.080000,1.499460,0.040495,0.199206,-0.013332,0.499822,-0.009800,-0.166619,-0.003888,0.000000
0.100000,1.499158,0.050491,0.199010,-0.016663,0.499722,-0.009800,-0.166590,-0.004999,0.000000
0.120000,1.498790,0.060484,0.198814,-0.019994,0.499600,-0.009800,-0.166553,-0.006110,0.000000
0.140000,1.498355,0.070474,0.198618,-0.023325,0.499456,-0.009800,-0.166508,-0.007220,0.000000
0.160000,1.497854,0.080462,0.198422,-0.026654,0.499289,-0.009800,-0.166456,-0.008330,0.000000
0.180000,1.497286,0.090446,0.198226,-0.029982,0.499100,-0.009800,-0.166397,-0.009439,0.000000
0.200000,1.496651,0.100425,0.198030,-0.033308,0.498889,-0.009800,-0.166331,-0.010548,0.000000
0.220000,1.495950,0.110401,0.197834,-0.036633,0.498656,-0.009800,-0.166257,-0.011657,0.000000
0.240000,1.495183,0.120371,0.197638,-0.039957,0.498401,-0.009800,-0.166175,-0.012765,0.000000
0.260000,1.494349,0.130336,0.197442,-0.043279,0.498123,-0.009800,-0.166086,-0.013873,0.000000
0.280000,1.493448,0.140296,0.197246,-0.046598,0.497824,-0.009800,-0.165990,-0.014979,0.000000
0.300000,1.492481,0.150249,0.197050,-0.049916,0.497502,-0.009800,-0.165887,-0.016086,0.000000
0.320000,1.491448,0.160195,0.196854,-0.053232,0.497158,-0.009800,-0.165776,-0.017191,0.000000
0.340000,1.490349,0.170135,0.196658,-0.056545,0.496792,-0.009800,-0.165657,-0.018296,0.000000
0.360000,1.489183,0.180067,0.196462,-0.059856,0.496404,-0.009800,-0.165532,-0.019400,0.000000
0.380000,1.487951,0.189990,0.196266,-0.063163,0.495994,-0.009800,-0.165399,-0.020503,0.000000
0.400000,1.486653,0.199906,0.196070,-0.066469,0.495562,-0.009800,-0.165258,-0.021605,0.000000
0.420000,1.485289,0.209812,0.195874,-0.069771,0.495108,-0.009800,-0.165111,-0.022706,0.000000
0.440000,1.483859,0.219709,0.195678,-0.073070,0.494632,-0.009800,-0.164956,-0.023807,0.000000
0.460000,1.482363,0.229597,0.195482,-0.076366,0.494134,-0.009800,-0.164793,-0.024906,0.000000
0.480000,1.480801,0.239474,0.195286,-0.079658,0.493614,-0.009800,-0.164624,-0.026004,0.000000
0.500000,1.479174,0.249341,0.195090,-0.082947,0.493072,-0.009800,-0.164447,-0.027101,0.000000
0.520000,1.477480,0.259196,0.194894,-0.086232,0.492508,-0.009800,-0.164262,-0.028196,0.000000
0.540000,1.475721,0.269040,0.194698,-0.089514,0.491922,-0.009800,-0.164071,-0.029291,0.000000
0.560000,1.473896,0.278872,0.194502,-0.092791,0.491314,-0.009800,-0.163872,-0.030384,0.000000
0.580000,1.472006,0.288692,0.194306,-0.096065,0.490685,-0.009800,-0.163665,-0.031476,0.000000
0.600000,1.470050,0.298499,0.194110,-0.099334,0.490033,-0.009800,-0.163452,-0.032566,0.000000
0.620000,1.468030,0.308293,0.193914,-0.102598,0.489360,-0.009800,-0.163231,-0.033655,0.000000
0.640000,1.465943,0.318073,0.193718,-0.105858,0.488666,-0.009800,-0.163003,-0.034743,0.000000
0.660000,1.463792,0.327838,0.193522,-0.109114,0.487949,-0.009800,-0.162768,-0.035828,0.000000
0.680000,1.461576,0.337590,0.193326,-0.112364,0.487211,-0.009800,-0.162526,-0.036913,0.000000
0.700000,1.459294,0.347326,0.193130,-0.115610,0.486451,-0.009800,-0.162276,-0.037995,0.000000
0.720000,1.456948,0.357047,0.192934,-0.118850,0.485669,-0.009800,-0.162019,-0.039076,0.000000
0.740000,1.454537,0.366752,0.192738,-0.122085,0.484866,-0.009800,-0.161755,-0.040156,0.000000
0.760000,1.452061,0.376441,0.192542,-0.125315,0.484041,-0.009800,-0.161484,-0.041233,0.000000
0.780000,1.449521,0.386113,0.192346,-0.128539,0.483195,-0.009800,-0.161205,-0.042309,0.000000
0.800000,1.446917,0.395767,0.192150,-0.131757,0.482328,-0.009800,-0.160919,-0.043382,0.000000
0.820000,1.444248,0.405405,0.191954,-0.134970,0.481439,-0.009800,-0.160627,-0.044454,0.000000
0.840000,1.441515,0.415024,0.191758,-0.138176,0.480528,-0.009800,-0.160327,-0.045524,0.000000
0.860000,1.438718,0.424625,0.191562,-0.141377,0.479596,-0.009800,-0.160020,-0.046592,0.000000
0.880000,1.435856,0.434207,0.191366,-0.144571,0.478643,-0.009800,-0.159706,-0.047658,0.000000
0.900000,1.432932,0.443769,0.191170,-0.147759,0.477669,-0.009800,-0.159384,-0.048721,0.000000
0.920000,1.429943,0.453312,0.190974,-0.150940,0.476673,-0.009800,-0.159056,-0.049783,0.000000
0.940000,1.426891,0.462835,0.190778,-0.154114,0.475656,-0.009800,-0.158721,-0.050842,0.000000
0.960000,1.423775,0.472337,0.190582,-0.157282,0.474618,-0.009800,-0.158378,-0.051899,0.000000
0.980000,1.420596,0.481819,0.190386,-0.160442,0.473559,-0.009800,-0.158029,-0.052954,0.000000
1.000000,1.417354,0.491278,0.190190,-0.163596,0.472479,-0.009800,-0.157672,-0.054006,0.000000
1.020000,1.414049,0.500717,0.189994,-0.166742,0.471378,-0.009800,-0.157308,-0.055056,0.000000
1.040000,1.410682,0.510132,0.189798,-0.169881,0.470256,-0.009800,-0.156938,-0.056103,0.000000
1.060000,1.407251,0.519525,0.189602,-0.173012,0.469113,-0.009800,-0.156560,-0.057148,0.000000
1.080000,1.403758,0.528896,0.189406,-0.176135,0.467949,-0.009800,-0.156176,-0.058191,0.000000
1.100000,1.400203,0.538242,0.189210,-0.179251,0.466764,-0.009800,-0.155785,-0.059231,0.000000
1.120000,1.396585,0.547565,0.189014,-0.182359,0.465559,-0.009800,-0.155386,-0.060268,0.000000
1.140000,1.392905,0.556863,0.188818,-0.185458,0.464333,-0.009800,-0.154981,-0.061303,0.000000
1.160000,1.389164,0.566137,0.188622,-0.188550,0.463086,-0.009800,-0.154569,-0.062334,0.000000
1.180000,1.385360,0.575385,0.188426,-0.191633,0.461819,-0.009800,-0.154150,-0.063363,0.000000
1.200000,1.381495,0.584608,0.188230,-0.194707,0.460531,-0.009800,-0.153724,-0.064390,0.000000
1.220000,1.377569,0.593805,0.188034,-0.197773,0.459223,-0.009800,-0.153291,-0.065413,0.000000
1.240000,1.373581,0.602976,0.187838,-0.200830,0.457894,-0.009800,-0.152852,-0.066433,0.000000
1.260000,1.369533,0.612119,0.187642,-0.203878,0.456545,-0.009800,-0.152406,-0.067451,0.000000
1.280000,1.365423,0.621236,0.187446,-0.206917,0.455176,-0.009800,-0.151953,-0.068466,0.000000
